Model,Forecast_Multiplier,Total_Cost,CashOut_Days,Refill_Count,Total_Refilled,Delta_Cost_%,Delta_RefillCount,Delta_TotalRefilled,RefillDays_Jaccard_vs_Base
LSTM,1.034,1196200.42956,0,297,119620042.956,3.473526462007248,0,4015552.5649999976,0.9932885906040269
LSTM,1.035,1197381.47511,0,297,119738147.511,3.5756890636506222,0,4133657.120000005,0.9932885906040269
LSTM,1.036,1198562.51868,0,297,119856251.868,3.6778514940203566,0,4251761.476999998,0.9932885906040269
LSTM,1.037,1199743.5641200002,0,297,119974356.412,3.780014086148542,0,4369866.020999998,0.9932885906040269
LSTM,1.038,1200924.60867,0,297,120092460.867,3.882176601290044,0,4487970.475999996,0.9932885906040269
LSTM,1.039,1202105.65294,0,297,120210565.294,3.9843390922110755,0,4606074.902999997,0.9932885906040269
LSTM,1.04,1203286.70059,0,297,120328670.05899999,4.086501875508297,0,4724179.667999983,0.9932885906040269
LSTM,1.041,1204467.74333,0,297,120446774.333,4.188664234081507,0,4842283.942000002,0.9932885906040269
LSTM,1.042,1205648.7870899998,0,297,120564878.70899999,4.290826680886584,0,4960388.317999989,0.9932885906040269
LSTM,1.043,1206829.83314,0,297,120682983.314,4.392989325780872,0,5078492.922999993,0.9932885906040269
LSTM,1.044,1208010.87921,0,297,120801087.921,4.495151972405198,0,5196597.530000001,0.9932885906040269
LSTM,1.045,1209191.9217400001,0,297,120919192.17400001,4.59731431281305,0,5314701.783000007,0.9932885906040269
LSTM,1.046,1210372.96941,0,297,121037296.94100001,4.699477097840266,0,5432806.550000012,0.9932885906040269
LSTM,1.047,1211554.01286,0,297,121155401.28600001,4.801639517829792,0,5550910.895000011,0.9932885906040269
LSTM,1.048,1212735.05981,0,297,121273505.981,4.903802240575739,0,5669015.590000004,0.9932885906040269
LSTM,1.049,1213916.1038600001,0,297,121391610.386,5.005964712466371,0,5787119.995000005,0.9932885906040269
