ATM,Date,Refill_Amount,Stock,Refilled,Out_of_Cash,Day_Cost,Predicted_Withdrawal
5,2006-04-13,0.0,66447.115,0,0,0.0,40970.87504546841
5,2006-04-14,0.0,33073.688,0,0,0.0,33373.42657288844
5,2006-04-15,0.0,26210.554,0,0,0.0,6863.13404052968
5,2006-04-16,0.0,0.0,0,0,0.0,26210.554163566256
1,2006-04-17,860437.75,798097.0,1,0,8604.3775,62340.75037894792
1,2006-04-18,0.0,679989.33,0,0,0.0,118107.66904268926
1,2006-04-19,0.0,563183.5,0,0,0.0,116805.832116874
1,2006-04-20,0.0,437098.0,0,0,0.0,126085.4949011303
1,2006-04-21,0.0,288041.95,0,0,0.0,149056.04936409486
1,2006-04-22,0.0,131288.43,0,0,0.0,156753.52155676842
1,2006-04-23,0.0,0.0,0,0,0.0,131288.43014999203
2,2006-04-17,764832.75,706650.24,1,0,7648.3275,58182.50201466881
2,2006-04-18,0.0,610430.23,0,0,0.0,96220.01066927638
2,2006-04-19,0.0,499965.32,0,0,0.0,110464.90993510812
2,2006-04-20,0.0,375605.0,0,0,0.0,124360.32560143716
2,2006-04-21,0.0,238641.24,0,0,0.0,136963.76106451557
2,2006-04-22,0.0,108848.35,0,0,0.0,129792.88321328162
2,2006-04-23,0.0,0.0,0,0,0.0,108848.35385170412
3,2006-04-17,614130.64,583412.15,1,0,6141.3064,30718.48958480243
3,2006-04-18,0.0,510513.45,0,0,0.0,72898.70098906163
3,2006-04-19,0.0,425975.28,0,0,0.0,84538.174189026
3,2006-04-20,0.0,331690.09,0,0,0.0,94285.18483145937
3,2006-04-21,0.0,217518.34,0,0,0.0,114171.75665843768
3,2006-04-22,0.0,92554.625,0,0,0.0,124963.71080853156
3,2006-04-23,0.0,0.0,0,0,0.0,92554.62537704624
4,2006-04-17,868862.83,827860.65,1,0,8688.6283,41002.18083182454
4,2006-04-18,0.0,731338.77,0,0,0.0,96521.8818268706
4,2006-04-19,0.0,601722.79,0,0,0.0,129615.97581188427
4,2006-04-20,0.0,455941.82,0,0,0.0,145780.96814601702
4,2006-04-21,0.0,276657.63,0,0,0.0,179284.18694459886
4,2006-04-22,0.0,109060.19,0,0,0.0,167597.44602653637
4,2006-04-23,0.0,0.0,0,0,0.0,109060.18882174634
5,2006-04-17,485485.49,459688.82,1,0,4854.8549,25796.666577300304
5,2006-04-18,0.0,406058.19,0,0,0.0,53630.635148565474
5,2006-04-19,0.0,339736.44,0,0,0.0,66321.7452364415
5,2006-04-20,0.0,259520.0,0,0,0.0,80216.4397887616
5,2006-04-21,0.0,169504.46,0,0,0.0,90015.53977830659
5,2006-04-22,0.0,83695.72,0,0,0.0,85808.74119887638
5,2006-04-23,0.0,0.0,0,0,0.0,83695.72000993649
1,2006-04-24,915118.99,806348.19,1,0,9151.1899,108770.80429846307
1,2006-04-25,0.0,660116.2,0,0,0.0,146231.98723347113
1,2006-04-26,0.0,479999.4,0,0,0.0,180116.79846160277
1,2006-04-27,0.0,279605.83,0,0,0.0,200393.56905996188
1,2006-04-28,0.0,153089.45,0,0,0.0,126516.37987060584
1,2006-04-29,0.0,74421.558,0,0,0.0,78667.8952087954
1,2006-04-30,0.0,0.0,0,0,0.0,74421.55839844533
2,2006-04-24,952930.2,840276.08,1,0,9529.302,112654.11414270208
2,2006-04-25,0.0,683875.15,0,0,0.0,156400.9316598093
2,2006-04-26,0.0,513607.35,0,0,0.0,170267.79962242878
2,2006-04-27,0.0,330153.29,0,0,0.0,183454.06389526388
2,2006-04-28,0.0,181128.94,0,0,0.0,149024.3481120783
2,2006-04-29,0.0,85997.728,0,0,0.0,95131.21001685856
2,2006-04-30,0.0,0.0,0,0,0.0,85997.72835886295
3,2006-04-24,607793.35,536024.3,1,0,6077.9335,71769.05712918274
3,2006-04-25,0.0,418551.57,0,0,0.0,117472.7263348815
3,2006-04-26,0.0,293681.97,0,0,0.0,124869.60123152431
3,2006-04-27,0.0,168825.16,0,0,0.0,124856.81220769242
3,2006-04-28,0.0,103071.42,0,0,0.0,65753.7354776541
3,2006-04-29,0.0,57065.938,0,0,0.0,46005.482702376285
3,2006-04-30,0.0,0.0,0,0,0.0,57065.93766280776
