           Model      ATM       Date  Predicted_Withdrawal  Refill_Amount   Stock  Refilled  Out_of_Cash  Day_Cost
LinearRegression Z1524001 2006-08-30                58,492              0  97,738         0            0         0
LinearRegression Z1524001 2006-08-31                36,086              0  61,652         0            0         0
LinearRegression Z1524001 2006-09-01                39,094              0  22,558         0            0         0
LinearRegression Z1524001 2006-09-02                13,333              0   9,226         0            0         0
LinearRegression Z1524001 2006-09-03                 9,226              0       0         0            0         0
LinearRegression Z0276001 2006-09-04                36,272        207,805 171,533         1            0     2,078
LinearRegression Z0276001 2006-09-05                25,661              0 145,872         0            0         0
LinearRegression Z0276001 2006-09-06                24,808              0 121,064         0            0         0
LinearRegression Z0276001 2006-09-07                35,797              0  85,268         0            0         0
LinearRegression Z0276001 2006-09-08                39,759              0  45,509         0            0         0
LinearRegression Z0276001 2006-09-09                36,822              0   8,687         0            0         0
LinearRegression Z0276001 2006-09-10                 8,687              0       0         0            0         0
LinearRegression Z0386002 2006-09-04                29,083        170,240 141,157         1            0     1,702
LinearRegression Z0386002 2006-09-05                26,578              0 114,579         0            0         0
LinearRegression Z0386002 2006-09-06                22,957              0  91,622         0            0         0
LinearRegression Z0386002 2006-09-07                18,753              0  72,869         0            0         0
LinearRegression Z0386002 2006-09-08                24,569              0  48,300         0            0         0
LinearRegression Z0386002 2006-09-09                21,190              0  27,110         0            0         0
LinearRegression Z0386002 2006-09-10                27,110              0       0         0            0         0
LinearRegression Z0646002 2006-09-04                41,094        244,123 203,029         1            0     2,441
LinearRegression Z0646002 2006-09-05                29,152              0 173,877         0            0         0
LinearRegression Z0646002 2006-09-06                38,061              0 135,816         0            0         0
LinearRegression Z0646002 2006-09-07                30,506              0 105,310         0            0         0
LinearRegression Z0646002 2006-09-08                52,065              0  53,245         0            0         0
LinearRegression Z0646002 2006-09-09                33,454              0  19,791         0            0         0
LinearRegression Z0646002 2006-09-10                19,791              0       0         0            0         0
LinearRegression Z1031001 2006-09-04                22,455         64,951  61,055         1            0       650
LinearRegression Z1031001 2006-09-05                10,249              0  50,806         0            0         0
LinearRegression Z1031001 2006-09-06                12,258              0  38,548         0            0         0
LinearRegression Z1031001 2006-09-07                12,119              0  26,430         0            0         0
LinearRegression Z1031001 2006-09-08                 5,614              0  20,815         0            0         0
LinearRegression Z1031001 2006-09-09                 9,683              0  11,132         0            0         0
LinearRegression Z1031001 2006-09-10                11,132              0       0         0            0         0
LinearRegression Z1524001 2006-09-04                20,589        173,720 153,131         1            0     1,737
LinearRegression Z1524001 2006-09-05                19,455              0 133,677         0            0         0
LinearRegression Z1524001 2006-09-06                26,069              0 107,607         0            0         0
