"ATM_ID,""ATM_NUMBER"",""DATE"",""ATM_WITHDRWLS"",""ATM_WITHDRWLS_SCALED"",""DAY_OF_WEEK"",""DAY_IN_MONTH"",""MONTH"",""YEAR"",""ATM_WITHDRWLS_1WEEKAGO"",""ATM_WITHDRWLS_2WEEKAGO"",""AVG_ATM_WITHDRW_PREVMONTH"",""FIRSTWORKDAY"",""LASTWORKDAY"",""IsSaturday"",""IsSunday"",""HOLIDAY"""
"Z0241002,""1"",""13/02/2008"",""83480"",""0.24"",""4"",""13"",""2"",""2008"",""94845"",""77160"",""111767.419"",""0"",""0"",""0"",""0"",""0"""
"Z0951001,""2"",""13/02/2008"",""53810"",""0.16"",""4"",""13"",""2"",""2008"",""72500"",""53130"",""67730.645"",""0"",""0"",""0"",""0"",""0"""
"Z1031001,""3"",""13/02/2008"",""12950"",""0.04"",""4"",""13"",""2"",""2008"",""16880"",""10220"",""19670.968"",""0"",""0"",""0"",""0"",""0"""
"Z1119001,""4"",""13/02/2008"",""22345"",""0.07"",""4"",""13"",""2"",""2008"",""45020"",""25040"",""61330.323"",""0"",""0"",""0"",""0"",""0"""
"Z1899001,""5"",""13/02/2008"",""20800"",""0.06"",""4"",""13"",""2"",""2008"",""30655"",""16320"",""36813.71"",""0"",""0"",""0"",""0"",""0"""
"Z0241002,""1"",""12/02/2008"",""75930"",""0.22"",""3"",""12"",""2"",""2008"",""233010"",""83090"",""114053.548"",""0"",""0"",""0"",""0"",""0"""
"Z0951001,""2"",""12/02/2008"",""56620"",""0.17"",""3"",""12"",""2"",""2008"",""149305"",""64680"",""69398.387"",""0"",""0"",""0"",""0"",""0"""
"Z1031001,""3"",""12/02/2008"",""17240"",""0.05"",""3"",""12"",""2"",""2008"",""76880"",""12230"",""24245.645"",""0"",""0"",""0"",""0"",""0"""
"Z1119001,""4"",""12/02/2008"",""37110"",""0.11"",""3"",""12"",""2"",""2008"",""110015"",""57825"",""63309.677"",""0"",""0"",""0"",""0"",""0"""
"Z1899001,""5"",""12/02/2008"",""25205"",""0.07"",""3"",""12"",""2"",""2008"",""116375"",""24930"",""41876.452"",""0"",""0"",""0"",""0"",""0"""
