Model      ATM       Date  Predicted_Withdrawal  Refill_Amount   Stock  Refilled  Out_of_Cash  Day_Cost
 LSTM Z1031001 2006-10-02                 5,320        164,535 159,215         1            0     1,645
 LSTM Z1031001 2006-10-03                 8,669              0 150,546         0            0         0
 LSTM Z1031001 2006-10-04                11,690              0 138,855         0            0         0
 LSTM Z1031001 2006-10-05                40,346              0  98,509         0            0         0
 LSTM Z1031001 2006-10-06                67,688              0  30,821         0            0         0
 LSTM Z1031001 2006-10-07                26,154              0   4,667         0            0         0
 LSTM Z1031001 2006-10-08                 4,667              0       0         0            0         0
 LSTM Z1524001 2006-10-02                55,541        186,393 130,852         1            0     1,864
 LSTM Z1524001 2006-10-03                98,773              0  32,080         0            0         0
 LSTM Z1524001 2006-10-04                32,080              0       0         0            0         0
 LSTM Z1524001 2006-10-05                30,860         30,860       0         1            0       309
 LSTM Z1524001 2006-10-06                21,548         89,009  67,461         1            0       890
 LSTM Z1524001 2006-10-07                51,503              0  15,957         0            0         0
 LSTM Z1524001 2006-10-08                15,957              0       0         0            0         0
 LSTM Z0276001 2006-10-09                85,941        456,400 370,459         1            0     4,564
 LSTM Z0276001 2006-10-10                34,973              0 335,486         0            0         0
 LSTM Z0276001 2006-10-11                77,876              0 257,610         0            0         0
 LSTM Z0276001 2006-10-12                60,543              0 197,067         0            0         0
 LSTM Z0276001 2006-10-13                83,448              0 113,619         0            0         0
 LSTM Z0276001 2006-10-14                67,906              0  45,713         0            0         0
 LSTM Z0276001 2006-10-15                45,713              0       0         0            0         0
 LSTM Z0386002 2006-10-09               123,427        508,417 384,989         1            0     5,084
 LSTM Z0386002 2006-10-10                12,961              0 372,028         0            0         0
 LSTM Z0386002 2006-10-11                82,838              0 289,190         0            0         0
 LSTM Z0386002 2006-10-12                22,345              0 266,845         0            0         0
 LSTM Z0386002 2006-10-13               110,562              0 156,283         0            0         0
 LSTM Z0386002 2006-10-14               122,515              0  33,768         0            0         0
 LSTM Z0386002 2006-10-15                33,768              0       0         0            0         0
 LSTM Z0646002 2006-10-09                65,071        395,468 330,397         1            0     3,955
 LSTM Z0646002 2006-10-10                44,077              0 286,320         0            0         0
 LSTM Z0646002 2006-10-11                41,110              0 245,210         0            0         0
 LSTM Z0646002 2006-10-12               106,269              0 138,941         0            0         0
 LSTM Z0646002 2006-10-13                71,575              0  67,366         0            0         0
 LSTM Z0646002 2006-10-14                38,527              0  28,839         0            0         0
 LSTM Z0646002 2006-10-15                28,839              0       0         0            0         0
 LSTM Z1031001 2006-10-09                 7,541        163,295 155,755         1            0     1,633
 LSTM Z1031001 2006-10-10                 7,865              0 147,889         0            0         0
 LSTM Z1031001 2006-10-11                37,522              0 110,367         0            0         0
 LSTM Z1031001 2006-10-12                26,611              0  83,757         0            0         0
 LSTM Z1031001 2006-10-13                53,062              0  30,695         0            0         0
 LSTM Z1031001 2006-10-14                26,559              0   4,136         0            0         0
 LSTM Z1031001 2006-10-15                 4,136              0       0         0            0         0
 LSTM Z1524001 2006-10-09                78,405        187,461 109,056         1            0     1,875
 LSTM Z1524001 2006-10-10                70,884              0  38,172         0            0         0
 LSTM Z1524001 2006-10-11                38,172              0       0         0            0         0
 LSTM Z1524001 2006-10-12                34,635        121,777  87,141         1            0     1,218
 LSTM Z1524001 2006-10-13                24,937              0  62,204         0            0         0
 LSTM Z1524001 2006-10-14                46,302              0  15,902         0            0         0
 LSTM Z1524001 2006-10-15                15,902              0       0         0            0         0
 LSTM Z0276001 2006-10-16                71,507        414,290 342,783         1            0     4,143
 LSTM Z0276001 2006-10-17                30,095              0 312,688         0            0         0
 LSTM Z0276001 2006-10-18                65,618              0 247,070         0            0         0
 LSTM Z0276001 2006-10-19                85,162              0 161,909         0            0         0
 LSTM Z0276001 2006-10-20                60,312              0 101,597         0            0         0
 LSTM Z0276001 2006-10-21                56,036              0  45,561         0            0         0
 LSTM Z0276001 2006-10-22                45,561              0       0         0            0         0
 LSTM Z0386002 2006-10-16               263,595        623,363 359,768         1            0     6,234
 LSTM Z0386002 2006-10-17                29,120              0 330,648         0            0         0
 LSTM Z0386002 2006-10-18                59,624              0 271,023         0            0         0
 LSTM Z0386002 2006-10-19                44,215              0 226,808         0            0         0
 LSTM Z0386002 2006-10-20                77,024              0 149,784         0            0         0
 LSTM Z0386002 2006-10-21                85,669              0  64,115         0            0         0
 LSTM Z0386002 2006-10-22                64,115              0       0         0            0         0
 LSTM Z0646002 2006-10-16                89,197        372,661 283,464         1            0     3,727
 LSTM Z0646002 2006-10-17                68,041              0 215,423         0            0         0
 LSTM Z0646002 2006-10-18                36,029              0 179,394         0            0         0
 LSTM Z0646002 2006-10-19                66,099              0 113,295         0            0         0
 LSTM Z0646002 2006-10-20                52,709              0  60,587         0            0         0
 LSTM Z0646002 2006-10-21                36,203              0  24,384         0            0         0
 LSTM Z0646002 2006-10-22                24,384              0       0         0            0         0
 LSTM Z1031001 2006-10-16                10,207        179,166 168,959         1            0     1,792
 LSTM Z1031001 2006-10-17                13,462              0 155,497         0            0         0
 LSTM Z1031001 2006-10-18                41,477              0 114,020         0            0         0
 LSTM Z1031001 2006-10-19                15,130              0  98,890         0            0         0
 LSTM Z1031001 2006-10-20                60,304              0  38,586         0            0         0
 LSTM Z1031001 2006-10-21                33,632              0   4,954         0            0         0
 LSTM Z1031001 2006-10-22                 4,954              0       0         0            0         0
 LSTM Z1524001 2006-10-16                75,720        333,451 257,732         1            0     3,335
 LSTM Z1524001 2006-10-17                90,230              0 167,502         0            0         0
 LSTM Z1524001 2006-10-18                58,501              0 109,001         0            0         0
 LSTM Z1524001 2006-10-19                29,783              0  79,218         0            0         0
 LSTM Z1524001 2006-10-20                25,723              0  53,496         0            0         0
 LSTM Z1524001 2006-10-21                37,946              0  15,550         0            0         0
 LSTM Z1524001 2006-10-22                15,550              0       0         0            0         0
 LSTM Z0276001 2006-10-23               109,164        288,293 179,129         1            0     2,883
 LSTM Z0276001 2006-10-24                21,604              0 157,525         0            0         0
 LSTM Z0276001 2006-10-25                55,574         10,000 111,951         1            0       100
 LSTM Z0276001 2006-10-26                62,347              0  49,605         0            0         0
 LSTM Z0276001 2006-10-27                49,605              0       0         0            0         0
 LSTM Z0276001 2006-10-28                51,866        100,442  48,575         1            0     1,004
 LSTM Z0276001 2006-10-29                48,575              0       0         0            0         0
 LSTM Z0386002 2006-10-23                73,680        316,913 243,233         1            0     3,169
 LSTM Z0386002 2006-10-24                26,429              0 216,805         0            0         0
 LSTM Z0386002 2006-10-25                52,518              0 164,287         0            0         0
 LSTM Z0386002 2006-10-26                19,647              0 144,639         0            0         0
 LSTM Z0386002 2006-10-27                78,868         10,000  75,772         1            0       100
 LSTM Z0386002 2006-10-28                27,106              0  48,665         0            0         0
 LSTM Z0386002 2006-10-29                48,665              0       0         0            0         0
 LSTM Z0646002 2006-10-23                88,799        145,437  56,638         1            0     1,454
 LSTM Z0646002 2006-10-24                56,638              0       0         0            0         0
 LSTM Z0646002 2006-10-25                39,366        110,416  71,050         1            0     1,104
 LSTM Z0646002 2006-10-26                71,050              0       0         0            0         0
 LSTM Z0646002 2006-10-27                39,524         84,378  44,854         1            0       844
 LSTM Z0646002 2006-10-28                26,776              0  18,078         0            0         0
 LSTM Z0646002 2006-10-29                18,078              0       0         0            0         0
 LSTM Z1031001 2006-10-23                13,118        127,667 114,549         1            0     1,277
 LSTM Z1031001 2006-10-24                22,328              0  92,221         0            0         0
 LSTM Z1031001 2006-10-25                14,883              0  77,339         0            0         0
 LSTM Z1031001 2006-10-26                15,652              0  61,686         0            0         0
 LSTM Z1031001 2006-10-27                36,187              0  25,499         0            0         0
 LSTM Z1031001 2006-10-28                19,007              0   6,492         0            0         0
 LSTM Z1031001 2006-10-29                 6,492              0       0         0            0         0
 LSTM Z1524001 2006-10-23                45,364        183,587 138,223         1            0     1,836
 LSTM Z1524001 2006-10-24                90,631         10,000  57,592         1            0       100
 LSTM Z1524001 2006-10-25                57,592              0       0         0            0         0
 LSTM Z1524001 2006-10-26                30,990        110,216  79,226         1            0     1,102
 LSTM Z1524001 2006-10-27                21,302              0  57,924         0            0         0
 LSTM Z1524001 2006-10-28                36,605              0  21,319         0            0         0
 LSTM Z1524001 2006-10-29                21,319              0       0         0            0         0
 LSTM Z0276001 2006-10-30               101,637        299,174 197,538         1            0     2,992
 LSTM Z0276001 2006-10-31                22,647              0 174,891         0            0         0
 LSTM Z0276001 2006-11-01                58,235         10,000 126,656         1            0       100
 LSTM Z0276001 2006-11-02                59,602              0  67,054         0            0         0
 LSTM Z0276001 2006-11-03                67,054              0       0         0            0         0
 LSTM Z0276001 2006-11-04                40,303         75,249  34,946         1            0       752
 LSTM Z0276001 2006-11-05                34,946              0       0         0            0         0
 LSTM Z0386002 2006-10-30                58,872        162,488 103,616         1            0     1,625
 LSTM Z0386002 2006-10-31                16,260              0  87,356         0            0         0
 LSTM Z0386002 2006-11-01                68,622              0  18,734         0            0         0
 LSTM Z0386002 2006-11-02                18,734              0       0         0            0         0
 LSTM Z0386002 2006-11-03                71,449        159,054  87,605         1            0     1,591
 LSTM Z0386002 2006-11-04                45,190              0  42,415         0            0         0
 LSTM Z0386002 2006-11-05                42,415              0       0         0            0         0
 LSTM Z0646002 2006-10-30               102,934        254,619 151,684         1            0     2,546
 LSTM Z0646002 2006-10-31                55,275              0  96,409         0            0         0
 LSTM Z0646002 2006-11-01                45,727         10,000  60,682         1            0       100
 LSTM Z0646002 2006-11-02                60,682              0       0         0            0         0
 LSTM Z0646002 2006-11-03                30,296         62,056  31,760         1            0       621
 LSTM Z0646002 2006-11-04                19,788              0  11,972         0            0         0
 LSTM Z0646002 2006-11-05                11,972              0       0         0            0         0
 LSTM Z1031001 2006-10-30                 6,524        122,743 116,220         1            0     1,227
 LSTM Z1031001 2006-10-31                16,466              0  99,754         0            0         0
 LSTM Z1031001 2006-11-01                 9,148              0  90,606         0            0         0
 LSTM Z1031001 2006-11-02                16,829              0  73,777         0            0         0
 LSTM Z1031001 2006-11-03                32,903              0  40,874         0            0         0
 LSTM Z1031001 2006-11-04                35,402              0   5,472         0            0         0
 LSTM Z1031001 2006-11-05                 5,472              0       0         0            0         0
 LSTM Z1524001 2006-10-30                43,560        285,889 242,329         1            0     2,859
 LSTM Z1524001 2006-10-31                89,033              0 153,296         0            0         0
 LSTM Z1524001 2006-11-01                63,134         10,000 100,163         1            0       100
 LSTM Z1524001 2006-11-02                27,037              0  73,125         0            0         0
 LSTM Z1524001 2006-11-03                18,429              0  54,696         0            0         0
 LSTM Z1524001 2006-11-04                36,093              0  18,603         0            0         0
 LSTM Z1524001 2006-11-05                18,603              0       0         0            0         0
 LSTM Z0276001 2006-11-06               102,992        362,550 259,558         1            0     3,626
 LSTM Z0276001 2006-11-07                24,215              0 235,343         0            0         0
 LSTM Z0276001 2006-11-08                99,357              0 135,987         0            0         0
 LSTM Z0276001 2006-11-09                33,871              0 102,115         0            0         0
 LSTM Z0276001 2006-11-10                37,713              0  64,403         0            0         0
